region,cs,tweet,lat,lon,language,bucketed_lat,bucketed_lon
d,True, @gaaaabrielle_x watch ka? (:,6.936058,125.471194,Cebuano,6.0,125.0
d,True, \ud83d \ude4a \ud83d \ude0d \ud83d \udc95 \ud83d \udc4d \ud83d \udc4d \ud83d \ude18 Pingris! http://t.co/beSXl06wOu,7.039869,125.504724,0,7.0,125.0
d,True, @guibz11 @marcantonyaco tanggala na hacker to oh,7.077325999999999,125.61558600000001,Cebuano,7.0,125.0
d,True, Im already addicted to Angel Eyes' OSTs \ud83d \ude0d \ud83c \udfa7,7.051989,125.56149599999999,0,7.0,125.0
d,True, impromtu meetup with hs friends (c) ipay http://t.co/0asbSiVV0X,7.112516,125.61894699999999,Cebuano,7.0,125.0
d,True, Flaky af,7.063821000000001,125.601056,0,7.0,125.0
d,True, @Ashton5SOS: I miss my velvet jacket... I felt like Andre 3000. http://t.co/y9zghmmHyT,7.034401,125.51016899999999,0,7.0,125.0
d,True, ulaw man pd ko mugawas oy. :( maligo na koooo!!!!!,7.050783999999999,125.565872,0,7.0,125.0
d,True, kutob 3 lang ha bntay ra ka kung di ka mu tubag saako @LADYBABALLAIN,7.113553,125.629678,0,7.0,125.0
d,True, ayoko na talaga uy bahala,7.082089999999999,125.59013999999999,0,7.0,125.0
d,True, Long quiz tomorrow. Woo ,7.094072,125.62685900000001,0,7.0,125.0
d,True, Black cock down \ud83d \ude02 #skateborad #we'rethemillers,7.078461,125.61645800000001,0,7.0,125.0
d,True, Travel the world Fel and love every step. :),7.108269,125.635875,0,7.0,125.0
d,True, Naks naman kilala na nila si joaquin HAHAHAHA,7.008299000000001,125.50571699999999,0,7.0,125.0
d,True, Goodnanights zzzz...,7.05578,125.59289299999999,0,7.0,125.0
d,True, Hala dapat sayo man diay ko ugma -.-,7.112999,125.63150900000001,0,7.0,125.0
d,True, basically the team was betrayed by one of their co-creators ,7.107943,125.623106,0,7.0,125.0
d,True, Hahahahaha,7.115407,125.613998,0,7.0,125.0
d,True, Buang man siguro ni si renzel HAHAHAJAJA,7.072095,125.61587,0,7.0,125.0
d,True, @tjtecson @ariantantannn @iamsuperdemai hahaha tesda na taaa,7.089596,125.50050900000001,Cebuano,7.0,125.0
d,True, Im home alone trying to study after watching a movie. Grabbin' some donut huh http://t.co/e0FJnk9Bwi,7.185097,125.650775,0,7.0,125.0
d,True, @danedeelion: 11:11 peace of mind,7.096545,125.61796100000001,0,7.0,125.0
d,True, Kanang feeling na hugot na kay ka tas ang reply sa imong papa....... \ud83d \ude02 \ud83d \ude02 \ud83d \ude02 hahahaha samukang papa uy oj ge \ud83d \ude0c \u270c http://t.co/bWqEZCyNX0,7.092583,125.614003,Cebuano,7.0,125.0
d,True, Hahaha funny convo with my pamangkin again,7.006425999999999,125.504732,Cebuano,7.0,125.0
d,True, @min_bernardo: Gudam! Atin pong abangan ngayong Sunday Nov 9 from #ASAPStandout to #WANSAPANATAYM #PuppyKoSiPapi #KATHRYNBERNARDO,7.108439999999999,125.632325,Tagalog,7.0,125.0
d,True, Three little birds,7.087975,125.614998,0,7.0,125.0
